total_task	shipper_binned	shipper_id	distance_sum	distance_mean	distance_std	price_sum	price_mean	price_std	pricekm_sum	pricekm_mean	pricekm_std	size_1	size_2	size_3	size_4	size_5	company_down	company_midlow	company_mid	company_midup	company_top
507	(365, 1000]	6001	7525.144099999999	14.8424932938856	2.784256135015231	937118.9099999998	1848.360769230769	745.4841543659206	65085.083544403344	128.3729458469494	58.261080635920564	0.0	0.0	507.0	0.0	0.0	0.0	0.0	0.0	0.0	507.0
2	(0, 12]	6149	15.7	7.85	6.7175144212722016	9098.0	4549.0	1484.9242404917497	1573.074756784434	786.537378392217	483.9047059525602	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
13	(12, 52]	6204	180.895	13.915000000000001	10.250695415434018	39762.0	3058.6153846153848	1352.2946879570752	3314.477654424694	254.95981957113028	76.80095092928596	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
239	(52, 365]	6279	2846.0981059999986	11.908360276150622	5.574154961013402	1033347.5899999997	4323.630083682007	2498.278684422602	119789.66652567653	501.21199383128254	565.0812062871325	2.0	5.0	227.0	5.0	0.0	2.0	2.0	28.0	51.0	156.0
1	(0, 12]	6303	22.739	22.739		12869.5	12869.5		565.965961563833	565.965961563833		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10	(0, 12]	6379	79.79615	7.979615	3.3036361724662995	49623.86	4962.386	2252.766689202906	8385.203734257731	838.5203734257732	884.9586904770697	0.0	3.0	7.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0
50	(12, 52]	6710	377.4601	7.549202	5.678801529515587	152610.92	3052.2184	868.6592779712603	30795.96034840658	615.9192069681317	481.6114807751123	0.0	0.0	50.0	0.0	0.0	0.0	9.0	16.0	2.0	23.0
14	(12, 52]	6893	134.20000000000002	9.585714285714287	5.17387775164924	90688.0	6477.714285714285	2186.19020316065	11604.745138420285	828.9103670300203	390.490870184662	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
79	(52, 365]	6909	933.0801899999999	11.811141645569618	7.342244554373986	267093.15	3380.925949367089	2084.773632171177	35256.303811812184	446.2823267317998	491.1237534471005	4.0	6.0	67.0	2.0	0.0	0.0	0.0	16.0	7.0	56.0
893	(365, 1000]	7044	20815.40000000001	23.30951847704368	5.354134764162036	3240438.0	3628.7099664053753	326.548133853846	148963.36189553185	166.81227535893825	73.81200848672268	3.0	78.0	811.0	1.0	0.0	0.0	0.0	3.0	1.0	889.0
722	(365, 1000]	7063	17073.000000000004	23.64681440443214	6.003126517022292	2685199.0	3719.112188365651	899.0551936396679	130010.87426621269	180.07046297259376	168.64772777139174	5.0	62.0	652.0	3.0	0.0	1.0	0.0	8.0	3.0	710.0
133	(52, 365]	7620	1552.7068000000004	11.674487218045115	7.143393025349236	528628.5499999998	3974.650751879698	2170.0927899888407	59799.615495867525	449.6211691418611	340.01258206993987	2.0	2.0	129.0	0.0	0.0	0.0	0.0	29.0	11.0	93.0
4	(0, 12]	7660	33.379	8.34475	1.788261795711131	17170.5	4292.625	1790.7961625582443	2088.2897308056135	522.0724327014034	191.04454441291452	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
