shipper_id,total_days,worked_days,worked_days_ratio,mon_prob,tue_prob,wed_prob,thu_prob,fri_prob,sat_prob,sun_prob
13627,8.0,2.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13713,28.0,2.0,0.0714285714286,0.0,0.0,0.0,0.333333333333,0.666666666667,0.0,0.0
14107,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14115,15.0,2.0,0.133333333333,0.0,0.142857142857,0.857142857143,0.0,0.0,0.0,0.0
14153,25.0,3.0,0.12,0.0,0.0,0.0588235294118,0.0,0.941176470588,0.0,0.0
14308,219.0,17.0,0.0776255707763,0.144927536232,0.115942028986,0.275362318841,0.434782608696,0.0144927536232,0.0144927536232,0.0
14322,135.0,21.0,0.155555555556,0.132118451025,0.159453302961,0.148063781321,0.257403189066,0.150341685649,0.0820045558087,0.0706150341686
14360,67.0,5.0,0.0746268656716,0.25,0.625,0.0,0.0,0.125,0.0,0.0
14374,19.0,2.0,0.105263157895,0.333333333333,0.0,0.0,0.0,0.666666666667,0.0,0.0
14379,271.0,80.0,0.29520295203,0.239193083573,0.193083573487,0.250720461095,0.181556195965,0.106628242075,0.028818443804,0.0
14400,6.0,2.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.333333333333,0.0,0.0
14401,343.0,166.0,0.483965014577,0.347547169811,0.176226415094,0.130566037736,0.204905660377,0.129056603774,0.0105660377358,0.0011320754717
14409,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14420,47.0,3.0,0.063829787234,0.5,0.25,0.0,0.25,0.0,0.0,0.0
14428,96.0,37.0,0.385416666667,0.144,0.189333333333,0.261333333333,0.2,0.2,0.00266666666667,0.00266666666667
14440,15.0,4.0,0.266666666667,0.142857142857,0.0,0.0,0.0952380952381,0.761904761905,0.0,0.0
14478,39.0,10.0,0.25641025641,0.6,0.0181818181818,0.0545454545455,0.0909090909091,0.236363636364,0.0,0.0
14482,226.0,7.0,0.0309734513274,0.538461538462,0.0,0.307692307692,0.153846153846,0.0,0.0,0.0
14573,89.0,21.0,0.23595505618,0.372093023256,0.104651162791,0.186046511628,0.279069767442,0.0581395348837,0.0,0.0
14578,340.0,108.0,0.317647058824,0.37619047619,0.153571428571,0.171428571429,0.194047619048,0.077380952381,0.0238095238095,0.00357142857143
14582,197.0,10.0,0.0507614213198,0.0845070422535,0.0,0.295774647887,0.211267605634,0.408450704225,0.0,0.0
14590,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
14591,225.0,12.0,0.0533333333333,0.013698630137,0.027397260274,0.013698630137,0.0684931506849,0.465753424658,0.41095890411,0.0
14615,15.0,3.0,0.2,0.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0
14702,293.0,9.0,0.0307167235495,0.0333333333333,0.0,0.1,0.733333333333,0.1,0.0333333333333,0.0
14712,235.0,10.0,0.0425531914894,0.166666666667,0.166666666667,0.166666666667,0.222222222222,0.277777777778,0.0,0.0
14716,98.0,2.0,0.0204081632653,0.0,0.0,0.333333333333,0.333333333333,0.333333333333,0.0,0.0
14743,244.0,18.0,0.0737704918033,0.0943396226415,0.0188679245283,0.216981132075,0.424528301887,0.245283018868,0.0,0.0
